"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"58","2023-04-07","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"59","2023-04-07","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"60","2023-04-07","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"61","2023-04-08","D000096",1,1000,0,0,1,1000,0,0,0,0,0,0,0,0,0,0
"62","2023-04-08","G000585",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"63","2023-04-08","G000599",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"64","2023-04-08","P000608",1,40,0,0,1,40,0,0,0,0,0,0,0,0,0,0
"65","2023-04-09","L000562",1,150,0,0,1,150,0,0,0,0,0,0,0,0,0,0
"66","2023-04-14","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"67","2023-04-14","M001163",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"68","2023-04-14","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"69","2023-04-14","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"70","2023-04-15","P000608",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"71","2023-04-16","G000590",1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0
"72","2023-04-18","B001318",1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0
"73","2023-04-18","P000197",1,24,0,0,1,24,0,0,0,0,0,0,0,0,0,0
"74","2023-04-20","G000599",1,24,0,0,1,24,0,0,0,0,0,0,0,0,0,0
"75","2023-04-21","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"76","2023-04-21","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"77","2023-04-21","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"78","2023-04-25","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"79","2023-04-28","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"80","2023-04-28","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"81","2023-04-28","P000197",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"82","2023-04-28","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"83","2023-04-30","G000551",1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0
"84","2023-05-01","L000562",1,300,0,0,1,300,0,0,0,0,0,0,0,0,0,0
"85","2023-05-01","W000822",1,175,0,0,1,175,0,0,0,0,0,0,0,0,0,0
"86","2023-05-02","M000687",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"87","2023-05-05","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"88","2023-05-05","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"89","2023-05-05","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"90","2023-05-12","C001130",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"91","2023-05-12","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"92","2023-05-12","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"93","2023-05-12","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"94","2023-05-13","C001066",1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0
"95","2023-05-13","E000296",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"96","2023-05-13","G000599",1,550,0,0,1,550,0,0,0,0,0,0,0,0,0,0
"97","2023-05-13","M001160",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"98","2023-05-13","P000197",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"99","2023-05-13","R000305",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"100","2023-05-13","T000481",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"101","2023-05-14","D000399",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"102","2023-05-14","G000599",1,80,0,0,1,80,0,0,0,0,0,0,0,0,0,0
"103","2023-05-15","B001223",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"104","2023-05-15","C001101",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"105","2023-05-15","C001112",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"106","2023-05-15","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"107","2023-05-15","K000382",1,70,0,0,1,70,0,0,0,0,0,0,0,0,0,0
"108","2023-05-15","L000602",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"109","2023-05-15","T000460",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"110","2023-05-17","A000379",1,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0
"111","2023-05-19","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"112","2023-05-19","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"113","2023-05-19","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"114","2023-05-20","O000173",1,200,0,0,1,200,0,0,0,0,0,0,0,0,0,0
"115","2023-05-21","B001278",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"116","2023-05-26","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"117","2023-05-26","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"118","2023-05-26","P000197",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"119","2023-05-26","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"120","2023-05-27","N000015",1,22,0,0,1,22,0,0,0,0,0,0,0,0,0,0
"121","2023-06-02","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"122","2023-06-02","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
