"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"112","2023-05-12","M001213",1,0,0,0,0,1,0
"113","2023-05-12","S000344",11,9,4,0,0,0,11
"114","2023-05-12","S001196",1,1,0,0,0,1,0
"115","2023-05-13","J000307",1,0,0,0,0,1,0
"116","2023-05-14","C001103",1,0,0,0,0,1,0
"117","2023-05-15","G000593",2,0,0,0,0,2,0
"118","2023-05-15","M001199",3,2,1,0,0,3,0
"119","2023-05-15","M001213",1,0,0,0,0,1,0
"120","2023-05-15","S001190",1,1,0,0,0,1,0
"121","2023-05-16","P000613",3,0,0,0,0,0,3
"122","2023-05-16","T000481",3,2,0,0,0,3,0
"123","2023-05-17","S000522",3,0,0,0,0,0,3
"124","2023-05-19","L000599",2,2,1,0,0,2,0
"125","2023-05-19","S001190",1,1,0,0,0,0,1
"126","2023-05-19","W000814",1,1,0,0,0,1,0
"127","2023-05-21","D000628",3,3,0,0,0,3,0
"128","2023-05-22","G000593",6,5,0,0,0,6,0
"129","2023-05-23","T000481",1,0,0,0,0,1,0
"130","2023-05-26","E000215",2,2,1,0,0,2,0
"131","2023-05-26","S001200",1,0,0,0,0,1,0
"132","2023-05-27","T000469",4,0,0,0,0,4,0
"133","2023-05-28","G000565",5,1,0,1,0,5,0
"134","2023-05-29","C001066",2,1,0,0,0,2,0
"135","2023-05-30","M001199",2,0,0,0,0,2,0
"136","2023-05-30","S001190",2,0,0,0,0,2,0
"137","2023-05-31","L000557",1,0,0,0,1,0,0
"138","2023-06-01","G000574",1,1,1,0,0,1,0
"139","2023-06-01","P000617",1,1,0,0,0,0,1
"140","2023-06-01","P000620",1,0,1,0,0,1,0
"141","2023-06-02","L000564",2,2,2,0,0,2,0
"142","2023-06-03","C001059",2,0,0,0,0,0,2
"143","2023-06-03","J000307",2,0,0,0,0,2,0
"144","2023-06-05","C001132",3,0,1,0,0,3,0
