"date","locality","state","location_detail","online","type","title","macroevent","actors","organizations","participants","claims","valence","issues","issues_major","size_text","size_low","size_high","size_mean","size_cat","arrests","arrests_any","injuries_crowd","injuries_crowd_any","injuries_police","injuries_police_any","property_damage","property_damage_any","chemical_agents","participant_measures","police_measures","participant_deaths","police_deaths","source_1","source_2","source_3","source_4","source_5","source_6","source_7","source_8","source_9","source_10","source_11","source_12","source_13","source_14","source_15","source_16","source_17","source_18","source_19","source_20","source_21","source_22","source_23","source_24","source_25","source_26","source_27","source_28","source_29","source_30","notes","lat","lon","resolved_locality","resolved_county","resolved_state","fips_code"
2024-02-18,"Gilbert","AZ","Mission Church, 4450 E Elliot Rd",0,"demonstration",NA,NA,"",NA,NA,"against genocide in Gaza, for Palestinian liberation, Palestine flag, Israel is a terrorist project / free Palestine, free Palestine!",0,"foreign affairs","foreign affairs","count video",1,1,1,1,NA,0,NA,0,NA,0,NA,0,0,NA,"on scene",NA,NA,"https://www.instagram.com/p/C3jLq3JvGZ9/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several representative of the church came out, warned protester against trespassing, and waved sheriff's deputy over",33.352826,-111.789027,"Gilbert","Maricopa County","AZ",4013
2024-03-30,"Sheboygan","WI","N 9th St and Erie Ave",0,"demonstration",NA,NA,"Veterans for Peace Sheboygan","Veterans for Peace Sheboygan",NA,"for a ceasefire in Gaza, against US military industrial complex, against genocide in Gaza, for Palestinian liberation",0,"foreign affairs; military","foreign affairs; military",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.sheboyganpress.com/story/news/local/2024/05/28/sheboygan-veterans-for-peace-aim-to-end-genocide-amid-israel-hamas-war/73803052007/","http://vetsforpeacesheboygan.org/upcomingevents.htm","https://www.facebook.com/p/Veterans-for-Peace-Sheboygan-100064328843949/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Saturday; group's Facbook page is not updated and their website calendar show events on some Saturdays with the first one being on March 16th",43.7508284,-87.71453,"Sheboygan","Sheboygan County","WI",55117
2024-02-13,"Woodbury","NY",NA,0,"protest",NA,NA,"Long Island DSA","Long Island DSA",NA,"against genocide in Gaza, for ceasefire in Gaza, for Palestinian liberation, Palestine flag, ceasefire now!",0,"foreign affairs","foreign affairs",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,"disrupted victory speech by U.S. Rep.-elect Tom Suozzi with flag and shouting",NA,NA,NA,"https://twitter.com/NassauDSA/status/1757627578653790644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protesters were forcibly removed by security",41.3645382,-74.1059775,"Woodbury","Orange County","NY",36071
2024-04-26,"Saint Paul","MN","Hamline University",0,"demonstration; rally",NA,NA,"HU SFJ; students","HU SFJ","students","for divesting Hamline University from Israel and genocide of Palestinians, for statement from university administration condemning genocide in Gaza, for Palestinian liberation, disclose divest now, disclose and divest",0,"banking and finance; education; foreign affairs","banking and finance; education; foreign affairs",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,"occupation of university president's office",NA,NA,NA,"https://www.instagram.com/p/C6O_87cuEnB/?img_index=1","https://www.instagram.com/p/C6O_87cuEnB/?img_index=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",44.9537029,-93.0899578,"Saint Paul","Ramsey County","MN",27123
2024-01-20,"Crystal Lake","IL","610 Crystal Point Rd",0,"rally","Bigger Than Roe 2024",NA,"Women's March","Women's March",NA,"for reproductive freedom for all, for women's rights, for democracy",1,"civil rights; democracy; women's rights","civil rights; democracy; women's rights",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://action.womensmarch.com/calendars/bigger-than-roe-january-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bigger Than Roe 2024",42.241134,-88.316196,"Crystal Lake","McHenry County","IL",17111
2024-07-06,"Watertown","MA","Watertown Square",0,"demonstration","Weekly Standout for Palestine",NA,"Watertown Citizens for Peace, Justice and the Environment","Watertown Citizens for Peace, Justice and the Environment",NA,"for ceasefire in Gaza, Palestinian liberation",0,"foreign affairs","",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.instagram.com/p/C5wtSYisGvF/","https://watertowncitizens.org/event/weekly-vigil-let-gaza-live-permanent-ceasefire-in-gaza-and-palestine-2-2-2-2-2-2-2-2-2-2-9/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weekly Standout for Palestine every Saturday, but ""if it is raining or snowing we will not gather for the vigil""",42.3709299,-71.1828321,"Watertown","Middlesex County","MA",25017
2024-08-23,"Sebastopol","CA","Main St and Bodega Ave",0,"vigil","Vigil for Gaza",NA,"",NA,NA,"in remembrance of Palestinians killed in Gaza, for permanent ceasefire in Gaza, for Palestinian liberation",0,"foreign affairs","foreign affairs",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.instagram.com/p/C765SEkJ6-7/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vigil for Gaza every Friday",38.4021359,-122.8238806,"Sebastopol","Sonoma County","CA",6097
2024-01-19,"Longmeadow","MA","Longmeadow St and Forest Glen Rd",0,"demonstration",NA,NA,"",NA,NA,"against systemic racism, against Russia's invasion and war in Ukraine, against bullying",1,"foreign affairs; military; racism","foreign affairs; military; racism",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://www.masslive.com/news/2023/06/dueling-rallies-highlight-divergent-missions-in-longmeadow-anti-racism-group.html","https://www.facebook.com/groups/856764564832052/","https://www.wwlp.com/news/local-news/hampden-county/longmeadow-anti-racism-coalition-resumes-weekly-standouts/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Friday since split with LARC over expanding claims to include war in Ukraine at some point after April 2022; guesstimating timing of split to May 2022",42.050102,-72.582864,"Longmeadow","Hampden County","MA",25013
2023-04-18,"Cambridge","MA","Harvard University",0,"picket",NA,NA,"Harvard Union of Clerical and Technical Workers","Harvard Union of Clerical and Technical Workers",NA,"for higher pay for clerical and technical workers at Harvard University",0,"education; labor; religion","education; labor; religion",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,"informational picket",NA,NA,NA,"https://www.thecrimson.com/article/2023/2/8/huctw-rally/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Tu, W, Th starting Feb 2023 until contract is reached",42.373616,-71.109733,"Cambridge","Middlesex County","MA",25017
2023-05-13,"San Diego","CA","Planned Parenthood - First Avenue Family Planning, 2017 First Ave",0,"protest",NA,NA,"",NA,NA,"against abortion, for Christian values",2,"religion; reproductive rights","religion; reproductive rights",NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,"https://twitter.com/joeorephoto/status/1444556684853059588","https://itsgoingdown.org/clinic-defense-in-san-diego/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"every Saturday",32.715738,-117.1610838,"San Diego","San Diego County","CA",6073
